level,UpgradeCost
1,100
2,402
3,704
4,1006
5,1308
6,1610
7,1912
8,2214
9,2516
10,2818
11,3120
12,3422
13,3724
14,4026
15,4328
16,4630
17,4932
18,5234
19,5536
20,5838
21,6140
22,6442
23,6744
24,7046
25,7348
26,7650
27,7952
28,8254
29,8556
30,8858
31,9160
32,9462
33,9764
34,10066
35,10368
36,10670
37,10972
38,11274
39,11576
40,11878
41,12180
42,12482
43,12784
44,13086
45,13388
46,13690
47,13992
48,14294
49,14596
50,14898
51,15201
52,15503
53,15805
54,16107
55,16409
56,16711
57,17013
58,17315
59,17617
60,17919
61,18221
62,18523
63,18825
64,19127
65,19429
66,19731
67,20033
68,20335
69,20637
70,20939
71,21241
72,21543
73,21845
74,22147
75,22449
76,22751
77,23053
78,23355
79,23657
80,23959
81,24261
82,24563
83,24865
84,25167
85,25469
86,25771
87,26073
88,26375
89,26677
90,26979
91,27281
92,27583
93,27885
94,28187
95,28489
96,28791
97,29093
98,29395
99,29697
100,30000
101,30500
102,31000
103,31500
104,32000
105,32500
106,33000
107,33500
108,34000
109,34500
110,35000
111,35500
112,36000
113,36500
114,37000
115,37500
116,38000
117,38500
118,39000
119,39500
120,40000
121,40500
122,41000
123,41500
124,42000
125,42500
126,43000
127,43500
128,44000
129,44500
130,45000
131,45500
132,46000
133,46500
134,47000
135,47500
136,48000
137,48500
138,49000
139,49500
140,50000
141,50500
142,51000
143,51500
144,52000
145,52500
146,53000
147,53500
148,54000
149,54500
150,55000
151,55500
152,56000
153,56500
154,57000
155,57500
156,58000
157,58500
158,59000
159,59500
160,60000
161,60500
162,61000
163,61500
164,62000
165,62500
166,63000
167,63500
168,64000
169,64500
170,65000
171,65500
172,66000
173,66500
174,67000
175,67500
176,68000
177,68500
178,69000
179,69500
180,70000
181,70500
182,71000
183,71500
184,72000
185,72500
186,73000
187,73500
188,74000
189,74500
190,75000
191,75500
192,76000
193,76500
194,77000
195,77500
196,78000
197,78500
198,79000
199,79500
200,80000
